File,Feature ID,Messaggio di errore
A023_ACERNO_ple.gml,7847,Auto intersezione
A091_AGROPOLI_ple.gml,10428,Auto intersezione
A243_ALVIGNANO_ple.gml,8611,Auto intersezione
A243_ALVIGNANO_ple.gml,11663,Auto intersezione
A330_APOLLOSA_ple.gml,10623,Auto intersezione con anello
A455_ARZANO_ple.gml,5438,Troppi pochi punti nella geometria
A484_ATENA LUCANA_ple.gml,2466,Auto intersezione con anello
A484_ATENA LUCANA_ple.gml,2484,Auto intersezione con anello
A484_ATENA LUCANA_ple.gml,10909,Troppi pochi punti nella geometria
A535_BACOLI_ple.gml,3357,Auto intersezione con anello
A674_BARONISSI_ple.gml,4791,Auto intersezione
A674_BARONISSI_ple.gml,9963,Auto intersezione
A881_BISACCIA_ple.gml,27439,Auto intersezione
B242_BUCCINO_ple.gml,25731,Auto intersezione
B242_BUCCINO_ple.gml,29144,Auto intersezione
B644_CAPACCIO_ple.gml,16865,Auto intersezione
B644_CAPACCIO_ple.gml,21545,Auto intersezione
B644_CAPACCIO_ple.gml,23383,Auto intersezione
B866_CASALBORE_ple.gml,5691,Auto intersezione
B888_CASALETTO SPARTANO_ple.gml,1953,Auto intersezione
B895_CASAL VELINO_ple.gml,3547,Auto intersezione
B895_CASAL VELINO_ple.gml,9113,Auto intersezione
B959_CASELLE IN PITTARI_ple.gml,5971,Auto intersezione
C058_CASTEL BARONIA_ple.gml,3732,Auto intersezione
C069_CASTELCIVITA_ple.gml,1348,Auto intersezione
C125_CASTELLABATE_ple.gml,7344,Auto intersezione
C245_CASTELPAGANO_ple.gml,13400,Auto intersezione
C262_CASTEL SAN LORENZO_ple.gml,2220,Auto intersezione
C283_CASTELVETERE SUL CALORE_ple.gml,992,Auto intersezione
C470_CENTOLA_ple.gml,1525,Auto intersezione
C470_CENTOLA_ple.gml,3221,Auto intersezione
C470_CENTOLA_ple.gml,9349,Auto intersezione
C470_CENTOLA_ple.gml,19256,Auto intersezione
C470_CENTOLA_ple.gml,23999,Auto intersezione
C675_CICCIANO_ple.gml,6666,Auto intersezione con anello
C676_CICERALE_ple.gml,5103,Auto intersezione
C846_COLLE SANNITA_ple.gml,650,Auto intersezione
C973_CONTRONE_ple.gml,1621,Auto intersezione
C974_CONTURSI TERME_ple.gml,7319,Auto intersezione
C974_CONTURSI TERME_ple.gml,9710,Auto intersezione
C974_CONTURSI TERME_ple.gml,10241,Auto intersezione
C974_CONTURSI TERME_ple.gml,12346,Auto intersezione
D230_CUSANO MUTRI_ple.gml,8466,Auto intersezione
D469_FAICCHIO_ple.gml,8444,Auto intersezione
D527_FELITTO_ple.gml,2017,Auto intersezione
D527_FELITTO_ple.gml,4696,Auto intersezione
D638_FLUMERI_ple.gml,7369,Auto intersezione
D755_FRAGNETO L`ABATE_ple.gml,994,Auto intersezione
D784_FRASSO TELESINO_ple.gml,3208,Auto intersezione
D886_GALLUCCIO_ple.gml,6474,Auto intersezione
E026_GIFFONI SEI CASALI_ple.gml,1842,Auto intersezione
E131_GRAGNANO_ple.gml,9240,Auto intersezione con anello
E131_GRAGNANO_ple.gml,9242,Auto intersezione con anello
E161_GRECI_ple.gml,8437,Auto intersezione
E396_LACCO AMENO_ple.gml,4674,Auto intersezione con anello
E485_LAURINO_ple.gml,7673,Auto intersezione
E486_LAURITO_ple.gml,1579,Auto intersezione
E605_LIONI_ple.gml,9797,Auto intersezione
E814_MAGLIANO VETERE_ple.gml,2564,Auto intersezione
E814_MAGLIANO VETERE_ple.gml,2735,Auto intersezione
F397_MONTAGUTO_ple.gml,4113,Auto intersezione
F426_MONTANO ANTILIA_ple.gml,5492,Auto intersezione
F448_MONTECALVO IRPINO_ple.gml,11937,Auto intersezione
F559_MONTEMARANO_ple.gml,2601,Auto intersezione
F559_MONTEMARANO_ple.gml,12949,Auto intersezione
F744_MORRA DE SANCTIS_ple.gml,8901,Auto intersezione
F924_NOLA_ple.gml,16813,Auto intersezione con anello
F924_NOLA_ple.gml,16848,Auto intersezione con anello
G226_PADULA_ple.gml,2023,Auto intersezione
G226_PADULA_ple.gml,18321,Auto intersezione
