File,Stato,Totale feature,Feature invalide
A050_ACQUAVIVA COLLECROCE_ple.gml,Valido,6975,0
A051_ACQUAVIVA D`ISERNIA_ple.gml,Valido,8255,0
A080_AGNONE_ple.gml,Contiene geometrie invalide,52656,1
A567_BAGNOLI DEL TRIGNO_ple.gml,Valido,25620,0
A616_BARANELLO_ple.gml,Valido,14035,0
A761_BELMONTE DEL SANNIO_ple.gml,Valido,12386,0
A930_BOIANO_ple.gml,Valido,32190,0
A971_BONEFRO_ple.gml,Valido,10408,0
B295_BUSSO_ple.gml,Valido,10892,0
B317_POGGIO SANNITA_ple.gml,Valido,16443,0
B466_SANT`ELENA SANNITA_ple.gml,Valido,9285,0
B519_CAMPOBASSO_ple.gml,Valido,35127,0
B522_CAMPOCHIARO_ple.gml,Valido,9914,0
B528_CAMPODIPIETRA_ple.gml,Valido,10753,0
B544_CAMPOLIETO_ple.gml,Valido,7106,0
B550_CAMPOMARINO_ple.gml,Valido,13695,0
B630_CANTALUPO NEL SANNIO_ple.gml,Valido,12362,0
B682_CAPRACOTTA_ple.gml,Valido,8853,0
B810_CAROVILLI_ple.gml,Valido,12712,0
B830_CARPINONE_ple.gml,Valido,24135,0
B858_CASACALENDA_ple.gml,Valido,14077,0
B871_CASALCIPRANO_ple.gml,Valido,11139,0
C066_CASTELBOTTACCIO_ple.gml,Valido,6823,0
C082_CASTEL DEL GIUDICE_ple.gml,Valido,5484,0
C175_CASTELLINO DEL BIFERNO_ple.gml,Valido,10236,0
C197_CASTELMAURO_ple.gml,Valido,15489,0
C200_CASTELVERRINO_ple.gml,Valido,5026,0
C246_CASTELPETROSO_ple.gml,Contiene geometrie invalide,24899,1
C247_CASTELPIZZUTO_ple.gml,Valido,2763,0
C270_CASTEL SAN VINCENZO_ple.gml,Valido,10222,0
C346_CASTROPIGNANO_ple.gml,Valido,15421,0
C486_CERCEMAGGIORE_ple.gml,Valido,33084,0
C488_CERCEPICCOLA_ple.gml,Valido,7174,0
C534_CERRO AL VOLTURNO_ple.gml,Valido,20288,0
C620_CHIAUCI_ple.gml,Valido,14139,0
C764_CIVITA CAMPOMARANO_ple.gml,Valido,14302,0
C769_CIVITANOVA DEL SANNIO_ple.gml,Valido,19383,0
C772_DURONIA_ple.gml,Valido,24101,0
C854_COLLE D`ANCHISE_ple.gml,Valido,10309,0
C875_COLLETORTO_ple.gml,Valido,10707,0
C878_COLLI A VOLTURNO_ple.gml,Valido,9828,0
