Regione,File,Stato,Totale feature,Feature invalide
Abruzzo,A008_ABBATEGGIO_map.gml,Valido,16,0
Abruzzo,A018_ACCIANO_map.gml,Valido,42,0
Abruzzo,A100_AIELLI_map.gml,Valido,26,0
Abruzzo,A120_ALANNO_map.gml,Valido,31,0
Abruzzo,A125_ALBA ADRIATICA_map.gml,Valido,34,0
Abruzzo,A187_ALFEDENA_map.gml,Valido,24,0
Abruzzo,A235_ALTINO_map.gml,Valido,26,0
Abruzzo,A270_ANCARANO_map.gml,Valido,13,0
Abruzzo,A318_ANVERSA DEGLI ABRUZZI_map.gml,Valido,26,0
Abruzzo,A345_L`AQUILA_map.gml,Valido,467,0
Abruzzo,A367_ARCHI_map.gml,Valido,42,0
Abruzzo,A398_ARI_map.gml,Valido,13,0
Abruzzo,A402_ARIELLI_map.gml,Valido,12,0
Abruzzo,A445_ARSITA_map.gml,Valido,25,0
Abruzzo,A481_ATELETA_map.gml,Valido,36,0
Abruzzo,A485_ATESSA_map.gml,Valido,104,0
Abruzzo,A488_ATRI_map.gml,Valido,93,0
Abruzzo,A515_AVEZZANO_map.gml,Valido,105,0
Abruzzo,A603_BALSORANO_map.gml,Valido,37,0
Abruzzo,A656_BARETE_map.gml,Valido,33,0
Abruzzo,A667_BARISCIANO_map.gml,Valido,78,0
Abruzzo,A678_BARREA_map.gml,Valido,45,0
Abruzzo,A692_BASCIANO_map.gml,Valido,17,0
Abruzzo,A746_BELLANTE_map.gml,Valido,54,0
Abruzzo,A884_BISEGNA_map.gml,Valido,29,0
Abruzzo,A885_BISENTI_map.gml,Valido,31,0
Abruzzo,A945_BOLOGNANO_map.gml,Valido,22,0
Abruzzo,A956_BOMBA_map.gml,Valido,48,0
Abruzzo,B057_BORRELLO_map.gml,Valido,14,0
Abruzzo,B193_BRITTOLI_map.gml,Valido,14,0
Abruzzo,B238_BUCCHIANICO_map.gml,Valido,40,0
Abruzzo,B256_BUGNARA_map.gml,Valido,28,0
Abruzzo,B268_MONTEBELLO SUL SANGRO_map.gml,Valido,8,0
Abruzzo,B294_BUSSI SUL TIRINO_map.gml,Valido,23,0
Abruzzo,B358_CAGNANO AMITERNO_map.gml,Valido,54,0
Abruzzo,B382_CALASCIO_map.gml,Valido,22,0
Abruzzo,B515_CAMPLI_map.gml,Valido,78,0
Abruzzo,B526_CAMPO DI GIOVE_map.gml,Valido,21,0
Abruzzo,B569_CAMPOTOSTO_map.gml,Valido,56,0
Abruzzo,B606_CANISTRO_map.gml,Valido,14,0
Abruzzo,B620_CANOSA SANNITA_map.gml,Valido,15,0
Abruzzo,B624_CANSANO_map.gml,Valido,37,0
Abruzzo,B640_CANZANO_map.gml,Valido,16,0
Abruzzo,B651_CAPESTRANO_map.gml,Valido,46,0
Abruzzo,B656_CAPISTRELLO_map.gml,Valido,61,0
Abruzzo,B658_CAPITIGNANO_map.gml,Valido,23,0
Abruzzo,B672_CAPORCIANO_map.gml,Valido,24,0
Abruzzo,B677_CAPPADOCIA_map.gml,Valido,38,0
Abruzzo,B681_CAPPELLE SUL TAVO_map.gml,Valido,7,0
Abruzzo,B722_CARAMANICO TERME_map.gml,Valido,65,0
Abruzzo,B725_CARAPELLE CALVISIO_map.gml,Valido,16,0
Abruzzo,B826_CARPINETO SINELLO_map.gml,Valido,29,0
Abruzzo,B827_CARPINETO DELLA NORA_map.gml,Valido,14,0
Abruzzo,B842_CARSOLI_map.gml,Valido,94,0
Abruzzo,B853_CARUNCHIO_map.gml,Valido,29,0
Abruzzo,B859_CASACANDITELLA_map.gml,Valido,14,0
Abruzzo,B861_CASALANGUIDA_map.gml,Valido,16,0
Abruzzo,B865_CASALBORDINO_map.gml,Valido,52,0
Abruzzo,B896_CASALINCONTRADA_map.gml,Valido,18,0
Abruzzo,B985_CASOLI_map.gml,Valido,76,0
Abruzzo,C040_CASTEL CASTAGNA_map.gml,Valido,16,0
Abruzzo,C083_CASTEL DEL MONTE_map.gml,Valido,34,0
Abruzzo,C090_CASTEL DI IERI_map.gml,Valido,20,0
Abruzzo,C096_CASTEL DI SANGRO_map.gml,Valido,73,0
Abruzzo,C114_CASTEL FRENTANO_map.gml,Valido,24,0
Abruzzo,C123_CASTELGUIDONE_map.gml,Valido,16,0
Abruzzo,C126_CASTELLAFIUME_map.gml,Valido,16,0
Abruzzo,C128_CASTELLALTO_map.gml,Valido,37,0
Abruzzo,C169_CASTELLI_map.gml,Valido,38,0
