File,Stato,Totale feature,Feature invalide
Abruzzo\A008_ABBATEGGIO_ple.gml,Valido,8198,0
Abruzzo\A018_ACCIANO_ple.gml,Contiene geometrie invalide,20993,1
Abruzzo\A100_AIELLI_ple.gml,Valido,13771,0
Abruzzo\A120_ALANNO_ple.gml,Valido,16834,0
Abruzzo\A125_ALBA ADRIATICA_ple.gml,Valido,8818,0
Abruzzo\A187_ALFEDENA_ple.gml,Valido,9691,0
Abruzzo\A235_ALTINO_ple.gml,Valido,15866,0
Abruzzo\A270_ANCARANO_ple.gml,Valido,4892,0
Abruzzo\A318_ANVERSA DEGLI ABRUZZI_ple.gml,Valido,11631,0
Abruzzo\A345_L`AQUILA_ple.gml,Contiene geometrie invalide,230495,2
Abruzzo\A367_ARCHI_ple.gml,Valido,20638,0
Abruzzo\A398_ARI_ple.gml,Contiene geometrie invalide,8526,1
Abruzzo\A402_ARIELLI_ple.gml,Valido,6274,0
Abruzzo\A445_ARSITA_ple.gml,Valido,7721,0
Abruzzo\A481_ATELETA_ple.gml,Valido,12464,0
Abruzzo\A485_ATESSA_ple.gml,Valido,42378,0
Abruzzo\A488_ATRI_ple.gml,Contiene geometrie invalide,20388,4
Abruzzo\A515_AVEZZANO_ple.gml,Valido,47671,0
Abruzzo\A603_BALSORANO_ple.gml,Valido,17910,0
Abruzzo\A656_BARETE_ple.gml,Valido,10356,0
Abruzzo\A667_BARISCIANO_ple.gml,Contiene geometrie invalide,42902,1
Abruzzo\A678_BARREA_ple.gml,Valido,7753,0
Abruzzo\A692_BASCIANO_ple.gml,Valido,8936,0
Abruzzo\A746_BELLANTE_ple.gml,Contiene geometrie invalide,13926,1
Abruzzo\A884_BISEGNA_ple.gml,Valido,5094,0
Abruzzo\A885_BISENTI_ple.gml,Valido,16611,0
Abruzzo\A945_BOLOGNANO_ple.gml,Contiene geometrie invalide,8831,1
Abruzzo\A956_BOMBA_ple.gml,Valido,15463,0
Abruzzo\B057_BORRELLO_ple.gml,Valido,9150,0
Abruzzo\B193_BRITTOLI_ple.gml,Valido,8214,0
Abruzzo\B238_BUCCHIANICO_ple.gml,Valido,18960,0
Abruzzo\B256_BUGNARA_ple.gml,Valido,11797,0
Abruzzo\B268_MONTEBELLO SUL SANGRO_ple.gml,Valido,5357,0
Abruzzo\B294_BUSSI SUL TIRINO_ple.gml,Contiene geometrie invalide,8985,1
Abruzzo\B358_CAGNANO AMITERNO_ple.gml,Valido,22246,0
Abruzzo\B382_CALASCIO_ple.gml,Valido,8141,0
Abruzzo\B515_CAMPLI_ple.gml,Contiene geometrie invalide,29055,2
Abruzzo\B526_CAMPO DI GIOVE_ple.gml,Contiene geometrie invalide,4428,1
Abruzzo\B569_CAMPOTOSTO_ple.gml,Valido,15529,0
Abruzzo\B606_CANISTRO_ple.gml,Valido,3773,0
Abruzzo\B620_CANOSA SANNITA_ple.gml,Valido,8127,0
Abruzzo\B624_CANSANO_ple.gml,Contiene geometrie invalide,10653,1
Abruzzo\B640_CANZANO_ple.gml,Valido,6010,0
Abruzzo\B651_CAPESTRANO_ple.gml,Valido,23385,0
Abruzzo\B656_CAPISTRELLO_ple.gml,Valido,21368,0
Abruzzo\B658_CAPITIGNANO_ple.gml,Valido,15971,0
Abruzzo\B672_CAPORCIANO_ple.gml,Valido,11296,0
Abruzzo\B677_CAPPADOCIA_ple.gml,Valido,8155,0
Abruzzo\B681_CAPPELLE SUL TAVO_ple.gml,Valido,4595,0
Abruzzo\B722_CARAMANICO TERME_ple.gml,Contiene geometrie invalide,30089,1
Abruzzo\B725_CARAPELLE CALVISIO_ple.gml,Valido,7244,0
Abruzzo\B826_CARPINETO SINELLO_ple.gml,Valido,9088,0
Abruzzo\B827_CARPINETO DELLA NORA_ple.gml,Valido,7401,0
Abruzzo\B842_CARSOLI_ple.gml,Valido,29907,0
Abruzzo\B853_CARUNCHIO_ple.gml,Valido,12915,0
Abruzzo\B859_CASACANDITELLA_ple.gml,Valido,7298,0
Abruzzo\B861_CASALANGUIDA_ple.gml,Valido,6339,0
Abruzzo\B865_CASALBORDINO_ple.gml,Valido,20545,0
Abruzzo\B896_CASALINCONTRADA_ple.gml,Valido,9250,0
Abruzzo\B985_CASOLI_ple.gml,Valido,34941,0
Abruzzo\C040_CASTEL CASTAGNA_ple.gml,Valido,5397,0
Abruzzo\C083_CASTEL DEL MONTE_ple.gml,Valido,7157,0
Abruzzo\C090_CASTEL DI IERI_ple.gml,Valido,10132,0
Abruzzo\C096_CASTEL DI SANGRO_ple.gml,Valido,18328,0
Abruzzo\C114_CASTEL FRENTANO_ple.gml,Valido,13559,0
Abruzzo\C123_CASTELGUIDONE_ple.gml,Valido,8690,0
Abruzzo\C126_CASTELLAFIUME_ple.gml,Valido,6574,0
Abruzzo\C128_CASTELLALTO_ple.gml,Valido,14269,0
Abruzzo\C169_CASTELLI_ple.gml,Valido,10517,0
Abruzzo\C278_CASTELVECCHIO CALVISIO_ple.gml,Valido,10662,0
Abruzzo\C279_CASTELVECCHIO SUBEQUO_ple.gml,Valido,13676,0
Abruzzo\C298_CASTIGLIONE MESS MARINO_ple.gml,Valido,21474,0
Abruzzo\C308_CASTIGLIONE A CASAURIA_ple.gml,Valido,12066,0
Abruzzo\C311_COLLEDARA_ple.gml,Valido,11934,0
Abruzzo\C316_CASTIGLIONE M RAIMONDO_ple.gml,Valido,12389,0
Abruzzo\C322_CASTILENTI_ple.gml,Valido,6833,0
Abruzzo\C354_CATIGNANO_ple.gml,Valido,5625,0
Abruzzo\C426_CELANO_ple.gml,Valido,22617,0
Abruzzo\C428_CELENZA SUL TRIGNO_ple.gml,Valido,11871,0
Abruzzo\C449_CELLINO ATTANASIO_ple.gml,Valido,14097,0
Abruzzo\C474_CEPAGATTI_ple.gml,Valido,16038,0
Abruzzo\C492_CERCHIO_ple.gml,Valido,7614,0
Abruzzo\C517_CERMIGNANO_ple.gml,Contiene geometrie invalide,13717,1
Abruzzo\C632_CHIETI_ple.gml,Contiene geometrie invalide,43686,1
Abruzzo\C750_CITTA` SANT`ANGELO_ple.gml,Valido,19224,0
Abruzzo\C766_CIVITA D`ANTINO_ple.gml,Valido,6208,0
Abruzzo\C768_CIVITALUPARELLA_ple.gml,Valido,13939,0
Abruzzo\C771_CIVITAQUANA_ple.gml,Valido,8090,0
Abruzzo\C776_CIVITELLA MESS RAIMONDO_ple.gml,Valido,15116,0
Abruzzo\C778_CIVITELLA ALFEDENA_ple.gml,Valido,3975,0
Abruzzo\C779_CIVITELLA CASANOVA_ple.gml,Valido,13384,0
Abruzzo\C781_CIVITELLA DEL TRONTO_ple.gml,Valido,27863,0
Abruzzo\C783_CIVITELLA ROVETO_ple.gml,Contiene geometrie invalide,12156,1
Abruzzo\C811_COCULLO_ple.gml,Valido,15147,0
Abruzzo\C844_COLLARMELE_ple.gml,Valido,7487,0
Abruzzo\C853_COLLECORVINO_ple.gml,Valido,16402,0
Abruzzo\C855_COLLEDIMACINE_ple.gml,Valido,9559,0
Abruzzo\C856_COLLEDIMEZZO_ple.gml,Contiene geometrie invalide,5659,1
Abruzzo\C862_COLLELONGO_ple.gml,Valido,23199,0
Abruzzo\C866_COLLEPIETRO_ple.gml,Valido,7918,0
Abruzzo\C901_COLONNELLA_ple.gml,Valido,8101,0
Abruzzo\C972_CONTROGUERRA_ple.gml,Valido,7575,0
Abruzzo\C999_CORFINIO_ple.gml,Valido,8610,0
Abruzzo\D043_CORROPOLI_ple.gml,Valido,9050,0
Abruzzo\D076_CORTINO_ple.gml,Contiene geometrie invalide,14947,1
Abruzzo\D078_CORVARA_ple.gml,Valido,6290,0
Abruzzo\D137_CRECCHIO_ple.gml,Valido,16747,0
Abruzzo\D179_CROGNALETO_ple.gml,Valido,25997,0
Abruzzo\D201_CUGNOLI_ple.gml,Valido,8412,0
Abruzzo\D209_CUPELLO_ple.gml,Valido,16502,0
Abruzzo\D315_DOGLIOLA_ple.gml,Valido,5071,0
Abruzzo\D394_ELICE_ple.gml,Valido,8142,0
Abruzzo\D465_FAGNANO ALTO_ple.gml,Valido,18116,0
Abruzzo\D480_FALLO_ple.gml,Valido,5152,0
Abruzzo\D489_FANO ADRIANO_ple.gml,Valido,9561,0
Abruzzo\D494_FARA FILIORUM PETRI_ple.gml,Valido,8069,0
Abruzzo\D495_FARA SAN MARTINO_ple.gml,Valido,6890,0
Abruzzo\D501_FARINDOLA_ple.gml,Valido,15457,0
Abruzzo\D592_FILETTO_ple.gml,Valido,8977,0
Abruzzo\D681_FONTECCHIO_ple.gml,Valido,7902,0
Abruzzo\D690_SAN GIOVANNI TEATINO_ple.gml,Valido,18854,0
Abruzzo\D736_FOSSA_ple.gml,Contiene geometrie invalide,4994,1
Abruzzo\D738_FOSSACESIA_ple.gml,Contiene geometrie invalide,18964,1
Abruzzo\D757_FRAINE_ple.gml,Valido,11337,0
Abruzzo\D763_FRANCAVILLA AL MARE_ple.gml,Contiene geometrie invalide,25767,1
Abruzzo\D796_FRESAGRANDINARIA_ple.gml,Valido,9318,0
Abruzzo\D803_FRISA_ple.gml,Valido,8308,0
Abruzzo\D823_FURCI_ple.gml,Valido,8290,0
Abruzzo\D850_GAGLIANO ATERNO_ple.gml,Valido,14624,0
Abruzzo\D898_GAMBERALE_ple.gml,Valido,7960,0
Abruzzo\D996_GESSOPALENA_ple.gml,Valido,24203,0
Abruzzo\E040_GIOIA DEI MARSI_ple.gml,Valido,18478,0
Abruzzo\E052_GISSI_ple.gml,Valido,17308,0
Abruzzo\E056_GIULIANO TEATINO_ple.gml,Valido,7110,0
Abruzzo\E058_GIULIANOVA_ple.gml,Valido,16922,0
Abruzzo\E096_GORIANO SICOLI_ple.gml,Valido,8787,0
Abruzzo\E243_GUARDIAGRELE_ple.gml,Valido,42043,0
Abruzzo\E266_GUILMI_ple.gml,Valido,14418,0
Abruzzo\E307_INTRODACQUA_ple.gml,Valido,13780,0
Abruzzo\E343_ISOLA GRAN SASSO ITALIA_ple.gml,Valido,30505,0
Abruzzo\E372_VASTO_ple.gml,Valido,45009,0
Abruzzo\E424_LAMA DEI PELIGNI_ple.gml,Valido,16339,0
Abruzzo\E435_LANCIANO_ple.gml,Valido,57300,0
Abruzzo\E505_LECCE NEI MARSI_ple.gml,Valido,14491,0
Abruzzo\E531_LENTELLA_ple.gml,Valido,4202,0
Abruzzo\E558_LETTOMANOPPELLO_ple.gml,Valido,10065,0
Abruzzo\E559_LETTOPALENA_ple.gml,Valido,6813,0
Abruzzo\E611_LISCIA_ple.gml,Valido,6307,0
Abruzzo\E691_LORETO APRUTINO_ple.gml,Valido,19561,0
Abruzzo\E723_LUCO DEI MARSI_ple.gml,Valido,10287,0
Abruzzo\E724_LUCOLI_ple.gml,Valido,14411,0
Abruzzo\E811_MAGLIANO DE` MARSI_ple.gml,Contiene geometrie invalide,15609,1
Abruzzo\E892_MANOPPELLO_ple.gml,Valido,17158,0
Abruzzo\E989_MARTINSICURO_ple.gml,Valido,9731,0
Abruzzo\F022_MASSA D`ALBE_ple.gml,Contiene geometrie invalide,11981,1
Abruzzo\F196_MIGLIANICO_ple.gml,Valido,20951,0
Abruzzo\F433_MONTAZZOLI_ple.gml,Valido,15643,0
Abruzzo\F441_MONTEBELLO DI BERTONA_ple.gml,Valido,7404,0
Abruzzo\F498_MONTEFERRANTE_ple.gml,Valido,9147,0
Abruzzo\F500_MONTEFINO_ple.gml,Valido,5920,0
Abruzzo\F535_MONTELAPIANO_ple.gml,Valido,5414,0
Abruzzo\F578_MONTENERODOMO_ple.gml,Contiene geometrie invalide,12645,1
Abruzzo\F582_MONTEODORISIO_ple.gml,Contiene geometrie invalide,11030,2
Abruzzo\F585_ROSETO DEGLI ABRUZZI_ple.gml,Contiene geometrie invalide,23348,1
Abruzzo\F595_MONTEREALE_ple.gml,Valido,57273,0
Abruzzo\F646_MONTESILVANO_ple.gml,Valido,24147,0
Abruzzo\F690_MONTORIO AL VOMANO_ple.gml,Contiene geometrie invalide,26508,1
Abruzzo\F732_MORINO_ple.gml,Valido,14823,0
Abruzzo\F747_MORRO D`ORO_ple.gml,Valido,7627,0
Abruzzo\F764_MOSCIANO SANT`ANGELO_ple.gml,Valido,16279,0
Abruzzo\F765_MOSCUFO_ple.gml,Valido,7918,0
Abruzzo\F785_MOZZAGROGNA_ple.gml,Valido,7794,0
Abruzzo\F831_PINETO_ple.gml,Valido,12253,0
Abruzzo\F852_NAVELLI_ple.gml,Contiene geometrie invalide,31373,1
Abruzzo\F870_NERETO_ple.gml,Valido,5301,0
Abruzzo\F908_NOCCIANO_ple.gml,Valido,5319,0
Abruzzo\F942_NOTARESCO_ple.gml,Valido,11536,0
Abruzzo\F996_OCRE_ple.gml,Valido,13692,0
Abruzzo\G002_OFENA_ple.gml,Contiene geometrie invalide,15475,1
Abruzzo\G079_OPI_ple.gml,Valido,4660,0
Abruzzo\G102_ORICOLA_ple.gml,Valido,4331,0
Abruzzo\G128_ORSOGNA_ple.gml,Valido,13552,0
Abruzzo\G141_ORTONA_ple.gml,Valido,61816,0
Abruzzo\G142_ORTONA DEI MARSI_ple.gml,Valido,36726,0
Abruzzo\G145_ORTUCCHIO_ple.gml,Valido,10394,0
Abruzzo\G200_OVINDOLI_ple.gml,Contiene geometrie invalide,17679,2
Abruzzo\G210_PACENTRO_ple.gml,Valido,13576,0
Abruzzo\G237_PAGLIETA_ple.gml,Contiene geometrie invalide,16891,1
Abruzzo\G271_PALENA_ple.gml,Valido,9743,0
Abruzzo\G290_PALMOLI_ple.gml,Contiene geometrie invalide,13477,1
Abruzzo\G294_PALOMBARO_ple.gml,Valido,9458,0
Abruzzo\G434_PENNADOMO_ple.gml,Valido,9590,0
Abruzzo\G435_PENNAPIEDIMONTE_ple.gml,Valido,9297,0
Abruzzo\G437_PENNA SANT`ANDREA_ple.gml,Valido,5124,0
Abruzzo\G438_PENNE_ple.gml,Valido,23227,0
Abruzzo\G441_PERANO_ple.gml,Valido,6609,0
Abruzzo\G449_PERETO_ple.gml,Valido,7186,0
Abruzzo\G482_PESCARA_ple.gml,Valido,40439,0
Abruzzo\G484_PESCASSEROLI_ple.gml,Contiene geometrie invalide,8575,1
Abruzzo\G492_PESCINA_ple.gml,Valido,13982,0
Abruzzo\G493_PESCOCOSTANZO_ple.gml,Valido,6144,0
Abruzzo\G499_PESCOSANSONESCO_ple.gml,Valido,11338,0
Abruzzo\G524_PETTORANO SUL GIZIO_ple.gml,Contiene geometrie invalide,15694,2
Abruzzo\G555_PIANELLA_ple.gml,Valido,18129,0
Abruzzo\G589_PICCIANO_ple.gml,Valido,5191,0
Abruzzo\G608_PIETRACAMELA_ple.gml,Contiene geometrie invalide,14508,3
Abruzzo\G613_PIETRAFERRAZZANA_ple.gml,Valido,3271,0
Abruzzo\G621_PIETRANICO_ple.gml,Valido,8776,0
Abruzzo\G724_PIZZOFERRATO_ple.gml,Valido,19660,0
Abruzzo\G726_PIZZOLI_ple.gml,Valido,32395,0
Abruzzo\G760_POGGIOFIORITO_ple.gml,Contiene geometrie invalide,5613,1
Abruzzo\G766_POGGIO PICENZE_ple.gml,Valido,10047,0
Abruzzo\G799_POLLUTRI_ple.gml,Valido,10341,0
Abruzzo\G878_POPOLI TERME_ple.gml,Valido,14025,0
Abruzzo\G992_PRATA D`ANSIDONIA_ple.gml,Valido,20790,0
Abruzzo\H007_PRATOLA PELIGNA_ple.gml,Contiene geometrie invalide,17247,2
Abruzzo\H052_PRETORO_ple.gml,Valido,10708,0
Abruzzo\H056_PREZZA_ple.gml,Valido,16670,0
Abruzzo\H098_QUADRI_ple.gml,Valido,6410,0
Abruzzo\H166_RAIANO_ple.gml,Contiene geometrie invalide,14234,4
Abruzzo\H184_RAPINO_ple.gml,Valido,10740,0
Abruzzo\H320_RIPA TEATINA_ple.gml,Valido,14717,0
Abruzzo\H353_RIVISONDOLI_ple.gml,Contiene geometrie invalide,4881,1
Abruzzo\H389_ROCCACASALE_ple.gml,Contiene geometrie invalide,9992,1
Abruzzo\H399_ROCCA DI BOTTE_ple.gml,Valido,4213,0
Abruzzo\H400_ROCCA DI CAMBIO_ple.gml,Valido,7788,0
Abruzzo\H402_ROCCA DI MEZZO_ple.gml,Contiene geometrie invalide,31462,1
Abruzzo\H424_ROCCAMONTEPIANO_ple.gml,Valido,14980,0
Abruzzo\H425_ROCCAMORICE_ple.gml,Valido,6599,0
Abruzzo\H429_ROCCA PIA_ple.gml,Valido,4843,0
Abruzzo\H434_ROCCARASO_ple.gml,Valido,7909,0
Abruzzo\H439_ROCCA SAN GIOVANNI_ple.gml,Valido,17865,0
Abruzzo\H440_ROCCA SANTA MARIA_ple.gml,Valido,11938,0
Abruzzo\H442_ROCCASCALEGNA_ple.gml,Valido,19069,0
Abruzzo\H448_ROCCASPINALVETI_ple.gml,Valido,20456,0
Abruzzo\H495_ROIO DEL SANGRO_ple.gml,Valido,6883,0
Abruzzo\H562_ROSCIANO_ple.gml,Valido,12881,0
Abruzzo\H566_ROSELLO_ple.gml,Valido,8017,0
Abruzzo\H715_SALLE_ple.gml,Valido,8154,0
Abruzzo\H772_SAN BENEDETTO DEI MARSI_ple.gml,Valido,6482,0
Abruzzo\H773_SAN BENEDETTO IN PERILLIS_ple.gml,Valido,15863,0
Abruzzo\H784_SAN BUONO_ple.gml,Valido,13743,0
Abruzzo\H819_S DEMETRIO NE` VESTINI_ple.gml,Contiene geometrie invalide,15642,1
Abruzzo\H923_SAN GIOVANNI LIPIONI_ple.gml,Valido,5585,0
Abruzzo\H991_SAN MARTINO S MARRUCINA_ple.gml,Valido,5612,0
Abruzzo\I121_SAN PIO DELLE CAMERE_ple.gml,Valido,15587,0
Abruzzo\I148_SAN SALVO_ple.gml,Valido,13962,0
Abruzzo\I244_SANTA MARIA IMBARO_ple.gml,Valido,4418,0
Abruzzo\I318_S EGIDIO ALLA VIBRATA_ple.gml,Valido,13347,0
Abruzzo\I326_SANTE MARIE_ple.gml,Valido,16613,0
Abruzzo\I332_SANT`EUFEMIA A MAIELLA_ple.gml,Valido,13338,0
Abruzzo\I335_SANT`EUSANIO DEL SANGRO_ple.gml,Valido,12155,0
Abruzzo\I336_SANT`EUSANIO FORCONESE_ple.gml,Valido,6545,0
Abruzzo\I348_SANT`OMERO_ple.gml,Valido,12188,0
Abruzzo\I360_S STEFANO DI SESSANIO_ple.gml,Valido,8516,0
Abruzzo\I376_S VALENTINO ABRUZZO CIT_ple.gml,Valido,9954,0
Abruzzo\I389_S VINCENZO VALLE ROVETO_ple.gml,Valido,13852,0
Abruzzo\I394_SAN VITO CHIETINO_ple.gml,Contiene geometrie invalide,14126,1
Abruzzo\I482_SCAFA_ple.gml,Valido,8322,0
Abruzzo\I501_SCANNO_ple.gml,Valido,12407,0
Abruzzo\I520_SCERNI_ple.gml,Valido,18275,0
Abruzzo\I526_SCHIAVI DI ABRUZZO_ple.gml,Valido,43469,0
Abruzzo\I543_SCONTRONE_ple.gml,Contiene geometrie invalide,9595,2
Abruzzo\I546_SCOPPITO_ple.gml,Contiene geometrie invalide,13694,1
