Regione,File,Feature ID,Messaggio di errore
Abruzzo,A018_ACCIANO_ple.gml,20823,Troppi pochi punti nella geometria
Abruzzo,A345_L`AQUILA_ple.gml,63645,Auto intersezione con anello
Abruzzo,A345_L`AQUILA_ple.gml,132451,Auto intersezione
Abruzzo,A398_ARI_ple.gml,8506,Auto intersezione con anello
Abruzzo,A488_ATRI_ple.gml,13042,Auto intersezione con anello
Abruzzo,A488_ATRI_ple.gml,20064,Auto intersezione con anello
Abruzzo,A488_ATRI_ple.gml,20380,Troppi pochi punti nella geometria
Abruzzo,A488_ATRI_ple.gml,20384,Auto intersezione
Abruzzo,A667_BARISCIANO_ple.gml,42902,Auto intersezione con anello
Abruzzo,A746_BELLANTE_ple.gml,13345,Auto intersezione con anello
Abruzzo,A945_BOLOGNANO_ple.gml,8718,Auto intersezione
Abruzzo,B294_BUSSI SUL TIRINO_ple.gml,8895,Troppi pochi punti nella geometria
Abruzzo,B515_CAMPLI_ple.gml,15201,Auto intersezione con anello
Abruzzo,B515_CAMPLI_ple.gml,28648,Auto intersezione
Abruzzo,B526_CAMPO DI GIOVE_ple.gml,4412,Auto intersezione
Abruzzo,B624_CANSANO_ple.gml,2428,Auto intersezione
Abruzzo,B722_CARAMANICO TERME_ple.gml,30023,Auto intersezione
Abruzzo,C517_CERMIGNANO_ple.gml,13654,Auto intersezione
Abruzzo,C632_CHIETI_ple.gml,43668,Auto intersezione
Abruzzo,C783_CIVITELLA ROVETO_ple.gml,8796,Auto intersezione
Abruzzo,C856_COLLEDIMEZZO_ple.gml,5659,Troppi pochi punti nella geometria
Abruzzo,D076_CORTINO_ple.gml,14942,Troppi pochi punti nella geometria
Abruzzo,D736_FOSSA_ple.gml,4964,Auto intersezione
Abruzzo,D738_FOSSACESIA_ple.gml,18933,Auto intersezione
Abruzzo,D763_FRANCAVILLA AL MARE_ple.gml,25767,Auto intersezione con anello
Abruzzo,E811_MAGLIANO DE` MARSI_ple.gml,2626,Auto intersezione con anello
Abruzzo,F022_MASSA D`ALBE_ple.gml,11929,Troppi pochi punti nella geometria
Abruzzo,F578_MONTENERODOMO_ple.gml,5409,Auto intersezione
Abruzzo,F582_MONTEODORISIO_ple.gml,5100,Auto intersezione
Abruzzo,F582_MONTEODORISIO_ple.gml,7487,Auto intersezione
Abruzzo,F585_ROSETO DEGLI ABRUZZI_ple.gml,23332,Auto intersezione con anello
Abruzzo,F690_MONTORIO AL VOMANO_ple.gml,25917,Troppi pochi punti nella geometria
Abruzzo,F852_NAVELLI_ple.gml,31373,Auto intersezione con anello
Abruzzo,G002_OFENA_ple.gml,15282,Auto intersezione con anello
Abruzzo,G200_OVINDOLI_ple.gml,1659,Auto intersezione
Abruzzo,G200_OVINDOLI_ple.gml,10449,Auto intersezione con anello
Abruzzo,G237_PAGLIETA_ple.gml,9783,Auto intersezione
Abruzzo,G290_PALMOLI_ple.gml,11619,Auto intersezione
Abruzzo,G484_PESCASSEROLI_ple.gml,4251,Auto intersezione
