File,Stato,Totale feature,Feature invalide
A016_ACCEGLIO_ple.gml,Valido,10988,0
A052_ACQUI TERME_ple.gml,Valido,14248,0
A072_AGLIANO_ple.gml,Valido,6758,0
A074_AGLIE`_ple.gml,Valido,9131,0
A088_AGRATE CONTURBIA_ple.gml,Valido,5731,0
A107_AILOCHE_ple.gml,Valido,4676,0
A109_AIRASCA_ple.gml,Valido,4549,0
A113_AISONE_ple.gml,Valido,7308,0
A117_ALA DI STURA_ple.gml,Valido,8042,0
A119_ALAGNA VALSESIA_ple.gml,Valido,20452,0
A124_ALBA_ple.gml,Valido,23824,0
A130_ALBANO VERCELLESE_ple.gml,Valido,1644,0
A139_ALBARETTO DELLA TORRE_ple.gml,Valido,1685,0
A146_ALBERA LIGURE_ple.gml,Valido,12398,0
A157_ALBIANO D`IVREA_ple.gml,Valido,8147,0
A173_ALBUGNANO_ple.gml,Valido,5006,0
A182_ALESSANDRIA_ple.gml,Valido,59177,0
A189_ALFIANO NATTA_ple.gml,Valido,5433,0
A197_ALICE BEL COLLE_ple.gml,Valido,4460,0
A198_ALICE CASTELLO_ple.gml,Valido,11460,0
A218_ALMESE_ple.gml,Valido,13214,0
A221_ALPETTE_ple.gml,Valido,6476,0
A222_ALPIGNANO_ple.gml,Valido,7584,0
A227_ALTAVILLA MONFERRATO_ple.gml,Valido,3966,0
A238_ALTO_ple.gml,Valido,5226,0
A245_ALZANO SCRIVIA_ple.gml,Valido,720,0
A264_AMENO_ple.gml,Valido,4451,0
A275_ANDEZENO_ple.gml,Valido,3890,0
A280_ANDORNO MICCA_ple.gml,Valido,6402,0
A282_ANDRATE_ple.gml,Valido,3881,0
A295_ANGROGNA_ple.gml,Valido,11475,0
A300_CASTELLO DI ANNONE_ple.gml,Valido,10611,0
A312_ANTIGNANO_ple.gml,Valido,5949,0
A317_ANTRONA SCHIERANCO_ple.gml,Valido,10205,0
A325_ANZOLA D OSSOLA_ple.gml,Valido,3582,0
A352_ARAMENGO_ple.gml,Valido,6828,0
A358_ARBORIO_ple.gml,Valido,5660,0
A394_ARGENTERA_ple.gml,Valido,6105,0
A396_ARGUELLO_ple.gml,Valido,1975,0
A405_ARIGNANO_ple.gml,Contiene geometrie invalide,3719,1
A409_ARIZZANO_ple.gml,Valido,3780,0
A414_ARMENO_ple.gml,Valido,13985,0
A427_AROLA_ple.gml,Valido,3961,0
A429_ARONA_ple.gml,Valido,10701,0
A436_ARQUATA SCRIVIA_ple.gml,Valido,14318,0
A466_ASIGLIANO VERCELLESE_ple.gml,Valido,4985,0
A479_ASTI_ple.gml,Valido,67203,0
A497_AURANO_ple.gml,Valido,14977,0
A518_AVIGLIANA_ple.gml,Valido,16271,0
A523_AVOLASCA_ple.gml,Valido,4939,0
A525_AZEGLIO_ple.gml,Valido,7232,0
A527_AZZANO_ple.gml,Valido,2783,0
A534_BACENO_ple.gml,Valido,15023,0
A555_BAGNASCO_ple.gml,Valido,6878,0
A571_BAGNOLO PIEMONTE_ple.gml,Valido,24461,0
A584_BAIRO_ple.gml,Valido,4901,0
A587_BALANGERO_ple.gml,Valido,10420,0
A588_BALDICHIERI D`ASTI_ple.gml,Valido,3011,0
A589_BALDISSERO D`ALBA_ple.gml,Valido,7119,0
A590_BALDISSERO CANAVESE_ple.gml,Valido,3898,0
A591_BALDISSERO TORINESE_ple.gml,Valido,7973,0
A599_BALME_ple.gml,Valido,6254,0
A600_BALMUCCIA_ple.gml,Valido,3111,0
A601_BALOCCO_ple.gml,Valido,1773,0
A605_BALZOLA_ple.gml,Valido,5261,0
A607_BANCHETTE_ple.gml,Valido,2476,0
A610_BANNIO ANZINO_ple.gml,Valido,13861,0
A625_BARBANIA_ple.gml,Valido,10552,0
A629_BARBARESCO_ple.gml,Valido,3218,0
A651_BARDONECCHIA_ple.gml,Valido,33314,0
A653_BARENGO_ple.gml,Valido,6571,0
A660_BARGE_ple.gml,Valido,29346,0
A671_BAROLO_ple.gml,Valido,2557,0
A673_BARONE CANAVESE_ple.gml,Valido,3483,0
A689_BASALUZZO_ple.gml,Valido,5281,0
A708_BASSIGNANA_ple.gml,Valido,6861,0
A709_BASTIA MONDOVI_ple.gml,Valido,5274,0
A716_BATTIFOLLO_ple.gml,Valido,4032,0
A725_BAVENO_ple.gml,Valido,6277,0
A733_BEE_ple.gml,Valido,4311,0
A734_BEINASCO_ple.gml,Valido,4380,0
A735_BEINETTE_ple.gml,Valido,6079,0
A738_BELFORTE MONFERRATO_ple.gml,Valido,2396,0
A742_BELGIRATE_ple.gml,Valido,1936,0
A750_BELLINO_ple.gml,Valido,7582,0
A752_BELLINZAGO NOVARESE_ple.gml,Valido,20506,0
A770_BELVEGLIO_ple.gml,Valido,2840,0
A774_BELVEDERE LANGHE_ple.gml,Valido,2212,0
A779_BENE VAGIENNA_ple.gml,Valido,16694,0
A782_BENEVELLO_ple.gml,Valido,2764,0
A784_BENNA_ple.gml,Valido,4033,0
A793_BERGAMASCO_ple.gml,Valido,6118,0
A798_BERGOLO_ple.gml,Valido,1152,0
A805_BERNEZZO_ple.gml,Valido,11499,0
A812_BERZANO DI SAN PIETRO_ple.gml,Valido,3975,0
A813_BERZANO DI TORTONA_ple.gml,Valido,1163,0
A834_BEURA CARDEZZA_ple.gml,Valido,8881,0
A844_BIANDRATE_ple.gml,Valido,2915,0
A847_BIANZE_ple.gml,Valido,4816,0
A853_BIBIANA_ple.gml,Valido,8802,0
A859_BIELLA_ple.gml,Valido,24339,0
A876_BIOGLIO_ple.gml,Valido,8967,0
A889_BISTAGNO_ple.gml,Valido,7672,0
A910_BOBBIO PELLICE_ple.gml,Valido,11568,0
A911_BOCA_ple.gml,Valido,7398,0
A914_BOCCIOLETO_ple.gml,Valido,6603,0
A925_BOGNANCO_ple.gml,Valido,24692,0
A929_BOGOGNO_ple.gml,Valido,7458,0
A941_BOLLENGO_ple.gml,Valido,10886,0
A953_BOLZANO NOVARESE_ple.gml,Valido,2282,0
A979_BONVICINO_ple.gml,Valido,2703,0
A990_BORGARO TORINESE_ple.gml,Valido,4726,0
A998_BORGHETTO DI BORBERA_ple.gml,Valido,19503,0
B003_BORGIALLO_ple.gml,Valido,6353,0
B009_BORGO D`ALE_ple.gml,Valido,17735,0
B015_BORGOFRANCO D`IVREA_ple.gml,Valido,12061,0
B016_BORGOLAVEZZARO_ple.gml,Valido,4447,0
B018_BORGOMALE_ple.gml,Valido,2978,0
B019_BORGOMANERO_ple.gml,Valido,28727,0
B021_BORGOMASINO_ple.gml,Valido,7646,0
B024_BORGONE SUSA_ple.gml,Valido,5026,0
B029_BORGORATTO ALESSANDRINO_ple.gml,Valido,2285,0
B033_BORGO SAN DALMAZZO_ple.gml,Valido,15900,0
B037_BORGO SAN MARTINO_ple.gml,Valido,3200,0
B041_BORGOSESIA_ple.gml,Valido,26843,0
B043_BORGO TICINO_ple.gml,Valido,11348,0
B046_BORGO VERCELLI_ple.gml,Valido,4751,0
B058_BORRIANA_ple.gml,Contiene geometrie invalide,2257,1
B071_BOSCO MARENGO_ple.gml,Valido,7829,0
B075_BOSCONERO_ple.gml,Valido,6049,0
B079_BOSIA_ple.gml,Valido,2591,0
B080_BOSIO_ple.gml,Valido,10032,0
B084_BOSSOLASCO_ple.gml,Valido,5468,0
B101_BOVES_ple.gml,Valido,22736,0
B109_BOZZOLE_ple.gml,Valido,1268,0
B111_BRA_ple.gml,Valido,20894,0
B121_BRANDIZZO_ple.gml,Valido,5288,0
B167_BRIAGLIA_ple.gml,Valido,2693,0
B171_BRICHERASIO_ple.gml,Valido,11366,0
B175_BRIGA ALTA_ple.gml,Valido,6002,0
B176_BRIGA NOVARESE_ple.gml,Valido,5110,0
B179_BRIGNANO-FRASCATA_ple.gml,Valido,5944,0
B183_BRIONA_ple.gml,Valido,6196,0
B200_BRONDELLO_ple.gml,Valido,5764,0
B204_BROSSASCO_ple.gml,Valido,11603,0
B205_BROSSO_ple.gml,Valido,4768,0
B207_BROVELLO CARPUGNINO_ple.gml,Valido,6261,0
B209_BROZOLO_ple.gml,Valido,4049,0
B216_BRUINO_ple.gml,Valido,4498,0
B221_BRUNO_ple.gml,Valido,3488,0
B225_BRUSASCO_ple.gml,Valido,5871,0
B229_BRUSNENGO_ple.gml,Valido,7804,0
